,EAN,product_name,brand,category,subcategory,purchasable,price,price_per_unit
0,3609232398663,CARREFOUR Scie sauteuse 750W+ 6 lames,CARREFOUR,Bricolage & auto,Outillage,False,49.9,
1,3615005718736,CARREFOUR Diable pliable en acier.,CARREFOUR,Bricolage & auto,Quincaillerie,False,19.9,
2,3165140799959,BOSCH Bosch IXO V Perceuse sans fil,BOSCH,Bricolage & auto,Outillage,False,49.95,
3,4893993380008,BURAGO Voiture de course MAY CHEONG,BURAGO,Bricolage & auto,Auto,False,7.75,
4,3700563201544,ECLAT Poussette de marché isotherme 46 litres 6 roues,ECLAT,Bricolage & auto,Moto,False,25.9,
5,0753759182335,GARMIN GPS Europe Drive 40 SE LM Edition Limité - 010-01956-2J - Noir,GARMIN,Bricolage & auto,Auto,False,109.9,
6,0818279017441,GOPRO Fixation frontale et latérale pour casque,GOPRO,Bricolage & auto,Auto,False,39.9,
7,0818279015713,GOPRO Système de support pour GoPro - AGTSM-001 - Noir,GOPRO,Bricolage & auto,Auto,False,39.8,
8,0818279010800,GOPRO Fixation frontale - ACHOM-001 - Noir,GOPRO,Bricolage & auto,Auto,False,21.99,
9,0818279015416,GOPRO ventouse de fixation gopro,GOPRO,Bricolage & auto,Auto,False,29.99,
10,0818279017458,GOPRO Kit de fixation pour GoPro - GPR-AGBAG-001 - Noir,GOPRO,Bricolage & auto,Auto,False,29.99,
11,4975769455186,JVC Autoradio Bluetooth 1 Din - KD-T801BT - Noir,JVC,Bricolage & auto,Auto,False,105.9,
12,4975769449758,JVC Autoradio numérique - KD-X351BT - Noir,JVC,Bricolage & auto,Auto,False,89.99,
13,3483070846513,LOGICOM GPS ULTI E538T - Noir,LOGICOM,Bricolage & auto,Auto,False,64.9,
14,3483070976517,MAPPY Gps Mappy Maxi E738 - MAPPY_MAXI_X738 - Gris,MAPPY,"Maison, Loisir, Textile","Cartouche, électronique et culture",False,99.99,
15,3483070806517,MAPPY GPS ITI E438,MAPPY,"Maison, Loisir, Textile","Cartouche, électronique et culture",False,69.99,
16,4017239205270,MARQUE GENERIQUE Étagère charge lourde - 5 plateaux - Acier et bois - 55.72.80.001,MARQUE GENERIQUE,Bricolage & auto,Auto,False,26.9,
17,3377885015298,MARQUE GENERIQUE Diable pliant en aluminium et polypropylène - DIABLO,MARQUE GENERIQUE,Bricolage & auto,Auto,False,23.9,
18,4897066491851,ML Chargeur 3 USB-A & 2 Outlets - HIDEBLISTWH - Blanc,ML,Bricolage & auto,Auto,False,29.9,
19,3700527310237,ML Prise Murale + 2 USB & 1 USB-C - ML310237 - Blanc,ML,Bricolage & auto,Auto,False,19.9,
20,3700165333810,MUVIT Support pour voiture - QTREK - Noir,MUVIT,"Maison, Loisir, Textile","Cartouche, électronique et culture",False,14.9,
21,8716184067525,ONEFORALL Transmetteur audio TV - -SV1770 - Noir,ONEFORALL,Bricolage & auto,Auto,False,39.99,
22,3615004514865,POSS Chargeur de voiture USB - PSCAC-1A-18 - Noir,POSS,"Maison, Loisir, Textile","Cartouche, électronique et culture",False,7.9,
23,3615004514971,POSS Chargeur de voiture USB-C + Câble - PSCACC-2.4-18 - Noir,POSS,"Maison, Loisir, Textile","Cartouche, électronique et culture",False,14.9,
24,3615004514933,POSS Chargeur de voiture USB + Câble Ligth - PSCACL-2.4A-18 - Noir,POSS,Bricolage & auto,Auto,False,22.9,
25,3615004514919,POSS Chargeur allume-cigare - PSCACDB-4.8A - Noir,POSS,Bricolage & auto,Auto,False,14.9,
26,3615004514902,POSS Chargeur mural - PSWC-2.4A - Blanc,POSS,"Maison, Loisir, Textile","Cartouche, électronique et culture",False,14.9,
27,3615004514889,POSS Chargeur de voiture USB x 2 - PSCACDB-3.4A-18 - Noir,POSS,"Maison, Loisir, Textile",Lumière et électricité,False,16.9,
28,3615004514872,POSS Chargeur de voiture USB - PSCAC-2.4A-18 - Noir,POSS,"Maison, Loisir, Textile","Cartouche, électronique et culture",False,9.9,
29,3615004378283,POSS Chargeur de voiture 2 ports USB - PSCACCA-5.4ABK-18 - Noir,POSS,Bricolage & auto,Auto,False,16.9,
