,EAN,product_name,brand,category,subcategory,purchasable,price,price_per_unit
0,3700468700005,Œufs moyens L'ŒUF ARDENNAIS,REFS.SANS MARQUE,Crémerie,Oeufs,True,1.5,0.25 € / Pièce
1,3560070944286,Œufs plein air CARREFOUR,CARREFOUR,Crémerie,Oeufs,True,3.67,0.20 € / Pièce
2,3287251002121,Œufs plein air moyen MIELS VILLENEUVE,MIELS VILLENEUVE,Crémerie,Oeufs,True,2.4,2.40 € / Pièce
3,3760214348141,Œufs gros OEUF CHAMPAG.ARDENNE,OEUF CHAMPAG.ARDENNE,Crémerie,Oeufs,True,3.3,0.28 € / Pièce
4,3152322511034,Cancoillotte à l'ail RAGUIN,RAGUIN,Crémerie,Fromages,True,2.01,8.04 € / Kilogramme
5,3270190207689,Emmental râpé fondant CARREFOUR CLASSIC',CRF CLASSIC,Crémerie,Fromages,True,3.4,6.80 € / Kilogramme
6,3560070432080,Œufs frais calibre moyen CARREFOUR,PP BLANC,Crémerie,Oeufs,True,2.96,0.10 € / Pièce
7,3245411900458,Beurre doux CARREFOUR,CRF CDM,Crémerie,Beurres et margarines,True,3.56,7.12 € / Kilogramme
8,3760073540687,Œufs gros plein air L'ŒUF DES MAUGES,REFS.SANS MARQUE,Crémerie,Oeufs,True,1.4,3.19 € / Kilogramme
9,3270190205685,Œufs de poules plein air CARREFOUR,CARREFOUR,Crémerie,Oeufs,True,2.73,0.23 € / Pièce
10,3152322511027,Fromage Cancoillotte nature RAGUIN,RAGUIN,Crémerie,Fromages,True,2.01,8.04 € / Kilogramme
11,3350530001037,Beurre pasteurisé ,BEURRE DE BARATTE,Crémerie,Beurres et margarines,True,2.1,8.40 € / Kilogramme
12,3123930650026,Comté affiné AOP ENTREMONT,ENTREMONT (ENTREMONT,Crémerie,Fromages,True,2.48,12.40 € / Kilogramme
13,3273020000252,Œufs bio moyens poules plein air CORSOEUF,REFS.SANS MARQUE,Bio et Ecologie,Crèmerie,True,5.3,0.53 € / Pièce
14,3298623120008,Œufs moyen OEUF VIEUX PRESSOIR,OEUF VIEUX PRESSOIR,Crémerie,Oeufs,True,2.35,2.35 € / Pièce
15,3173980044047,lait demi-écrémé UHT VERNEUIL,VERNEUIL,Crémerie,"Lait, boissons lactées et végétales",True,3.78,0.63 € / Litre
16,3451790011269,Beurre doux ELLE & VIRE,ELLE & VIRE,Crémerie,Beurres et margarines,True,1.66,6.64 € / Kilogramme
17,3282070999317,Œufs frais petits ,PP NO NAME,Crémerie,Oeufs,True,1.77,0.12 € / Pièce
18,3270190207696,Emmental râpé fondant CARREFOUR,CRF CLASSIC,Crémerie,Fromages,True,1.44,7.20 € / Kilogramme
19,3560071013257,Lait demi-écrémé CARREFOUR,CARREFOUR,Crémerie,"Lait, boissons lactées et végétales",True,4.38,0.73 € / Litre
20,3175310002758,Lait demi-écrémé UHT LE PETIT VENDEEN,REFS.SANS MARQUE,Crémerie,"Lait, boissons lactées et végétales",True,3.66,0.61 € / Litre
21,3560071178345,Emmental râpé fondant CARREFOUR,CRF CLASSIC,Crémerie,Fromages,True,2.48,7.09 € / Kilogramme
22,3267590005106,Œufs gros L'ŒUF RIESTAHL,L OEUF RIESTAHL,Crémerie,Oeufs,True,3.09,0.26 € / Pièce
23,3245411851149,Crème semi-épaisse 18% MG CARREFOUR,CARREFOUR,Crémerie,Crèmes fraîches et chantilly,True,1.85,3.08 € / Litre
24,3270190020875,Crème fraîche épaisse légère 15% MG CARREFOUR,CRF CDM,Crémerie,Crèmes fraîches et chantilly,True,1.14,2.28 € / Litre
25,3560071080914,Lait demi-écrémé CARREFOUR,CARREFOUR,Crémerie,"Lait, boissons lactées et végétales",True,4.68,0.78 € / Litre
26,3560070459049,Morbier AOP IGP FILIERE QUALITE CARREFOUR,FILIERE QUALITE CARF,Crémerie,Fromages,True,2.48,9.92 € / Kilogramme
27,3368170032137,Œufs de poule plein air SAINTONG'OEUF,REFS.SANS MARQUE,Crémerie,Oeufs,True,1.35,0.22 € / Pièce
28,3560070157198,Parmesan râpé AOP CARREFOUR,CARREFOUR,Crémerie,Fromages,True,1.6,16.00 € / Kilogramme
29,3560070506491,Fromage râpé emmental/mozzarella/gouda CARREFOUR,CRF CLASSIC,Crémerie,Fromages,True,1.36,6.80 € / Kilogramme
30,3273020000023,Œufs poules plein air U PAESANU,REFS.SANS MARQUE,Crémerie,Oeufs,True,4.99,0.42 € / Pièce
31,3271820003343,Beurre demi sel de Bretagne ,AGRILAIT,Crémerie,Beurres et margarines,True,3.95,7.90 € / Kilogramme
32,3424140001401,Crème fraîche épaisse FERME DU BOURG GROUX,FERME DU BOURG GROUX,Crémerie,Crèmes fraîches et chantilly,True,2.77,6.92 € / Litre
33,3270190021179,Œufs moyen CARREFOUR BIO,CARREFOUR BIO,Bio et Ecologie,Crèmerie,True,1.88,0.31 € / Pièce
34,3282620138159,Œufs bio de poules plein air BABY COQUE,BABY COQUE,Bio et Ecologie,Crèmerie,True,4.45,0.37 € / Pièce
35,3760056260069,Grana Padano râpé CASA AZZURRA,CASA AZZURA,Crémerie,Fromages,True,1.55,15.50 € / Kilogramme
36,3298621068005,Œufs gros OEUF VIEUX PRESSOIR,OEUF VIEUX PRESSOIR,Crémerie,Oeufs,True,1.35,1.35 € / Pièce
37,3270190020288,Beurre doux CARREFOUR,CRF CDM,Crémerie,Beurres et margarines,True,1.79,7.16 € / Kilogramme
38,3271820003831,Beurre moulé demi-sel AGRILAIT,AGRILAIT,Crémerie,Beurres et margarines,True,4.15,8.30 € / Kilogramme
39,3523680248694,Comté 18 mois AOP ,,Crémerie,Fromages,True,4.12,17.91 € / Kilogramme
40,3560070349647,Crème fraîche légère 15% MG CARREFOUR,PP BLANC,Crémerie,Crèmes fraîches et chantilly,True,0.99,1.98 € / Litre
41,3451790988042,Crème liquide entière ELLE & VIRE,ELLE & VIRE,Crémerie,Crèmes fraîches et chantilly,True,2.45,4.08 € / Litre
42,3760056260076,Parmigiano Reggiano  CASA AZZURRA,CASA AZZURA,Crémerie,Fromages,True,1.02,17.00 € / Kilogramme
43,3245411386757,Beurre tendre demi-sel CARREFOUR,CARREFOUR,Crémerie,Beurres et margarines,True,1.9,7.60 € / Kilogramme
44,3270190021001,Crème fraîche épaisse entière 30% CARREFOUR,CRF CDM,Crémerie,Crèmes fraîches et chantilly,True,1.4,2.80 € / Litre
45,3560071093716,Fromage de chèvre Sainte Maure CARREFOUR,CRF CDM,Crémerie,Fromages,True,1.5,8.33 € / Kilogramme
46,3523230028431,Fromage de chèvre Sainte Maure SOIGNON,SOIGNON,Crémerie,Fromages,True,1.76,8.80 € / Kilogramme
47,8000500290767,Gâteaux lait & chocolat KINDER PINGUI,KINDER,Crémerie,"Yaourts, desserts et spécialités végétales",True,1.89,7.88 € / Kilogramme
48,3271820000007,Lait demi-écrémé AGRILAIT,AGRILAIT,Crémerie,"Lait, boissons lactées et végétales",True,0.92,0.92 € / Litre
49,3265770690012,Lait entier VALCO,VALCO,Crémerie,"Lait, boissons lactées et végétales",True,1.55,1.55 € / Litre
50,3273020001242,Œufs très gros CORSOEUF,REFS.SANS MARQUE,Crémerie,Oeufs,True,2.1,4.83 € / Kilogramme
51,3414280077060,Œufs gros L'ŒUF DE NOS VILLAGES,L'OEUF DE NOS VILLAG,Crémerie,Oeufs,True,1.61,0.27 € / Pièce
52,3273021240008,Œufs bio moyens CORSOEUF,REFS.SANS MARQUE,Bio et Ecologie,Crèmerie,True,2.95,7.97 € / Kilogramme
53,3033490004651,Yaourts aux fruits mixés VELOUTE,VELOUTE,Crémerie,"Yaourts, desserts et spécialités végétales",True,3.38,1.69 € / Kilogramme
54,3155251205500,Beurre gastronomique doux PRESIDENT,PRESIDENT,Crémerie,Beurres et margarines,True,1.94,7.76 € / Kilogramme
55,3248340046976,Crème entière liquide ,PP NO NAME,Crémerie,Crèmes fraîches et chantilly,True,1.66,2.77 € / Litre
56,3276559924105,Emmental Grand Cru Label Rouge IGP ,,Crémerie,Fromages,True,3.43,14.91 € / Kilogramme
57,3428274060013,Lait bio demi-écrémé LACTEL,LACTEL,Bio et Ecologie,Crèmerie,True,9.36,1.17 € / Litre
58,3539311996063,Œufs bio frais ,REFS.SANS MARQUE,Bio et Ecologie,Crèmerie,True,2.35,0.39 € / Pièce
59,3560070930036,Comté AOP CARREFOUR,CRF EXTRA,Crémerie,Fromages,True,2.92,11.68 € / Kilogramme
60,3700468700005,Œufs moyens L'ŒUF ARDENNAIS,REFS.SANS MARQUE,Crémerie,Oeufs,True,1.5,0.25 € / Pièce
61,3560070944286,Œufs plein air CARREFOUR,CARREFOUR,Crémerie,Oeufs,True,3.67,0.20 € / Pièce
62,3287251002121,Œufs plein air moyen MIELS VILLENEUVE,MIELS VILLENEUVE,Crémerie,Oeufs,True,2.4,2.40 € / Pièce
63,3760214348141,Œufs gros OEUF CHAMPAG.ARDENNE,OEUF CHAMPAG.ARDENNE,Crémerie,Oeufs,True,3.3,0.28 € / Pièce
64,3152322511034,Cancoillotte à l'ail RAGUIN,RAGUIN,Crémerie,Fromages,True,2.01,8.04 € / Kilogramme
65,3270190207689,Emmental râpé fondant CARREFOUR CLASSIC',CRF CLASSIC,Crémerie,Fromages,True,3.4,6.80 € / Kilogramme
66,3560070432080,Œufs frais calibre moyen CARREFOUR,PP BLANC,Crémerie,Oeufs,True,2.96,0.10 € / Pièce
67,3245411900458,Beurre doux CARREFOUR,CRF CDM,Crémerie,Beurres et margarines,True,3.56,7.12 € / Kilogramme
68,3760073540687,Œufs gros plein air L'ŒUF DES MAUGES,REFS.SANS MARQUE,Crémerie,Oeufs,True,1.4,3.19 € / Kilogramme
69,3270190205685,Œufs de poules plein air CARREFOUR,CARREFOUR,Crémerie,Oeufs,True,2.73,0.23 € / Pièce
70,3152322511027,Fromage Cancoillotte nature RAGUIN,RAGUIN,Crémerie,Fromages,True,2.01,8.04 € / Kilogramme
71,3350530001037,Beurre pasteurisé ,BEURRE DE BARATTE,Crémerie,Beurres et margarines,True,2.1,8.40 € / Kilogramme
72,3123930650026,Comté affiné AOP ENTREMONT,ENTREMONT (ENTREMONT,Crémerie,Fromages,True,2.48,12.40 € / Kilogramme
73,3273020000252,Œufs bio moyens poules plein air CORSOEUF,REFS.SANS MARQUE,Bio et Ecologie,Crèmerie,True,5.3,0.53 € / Pièce
74,3298623120008,Œufs moyen OEUF VIEUX PRESSOIR,OEUF VIEUX PRESSOIR,Crémerie,Oeufs,True,2.35,2.35 € / Pièce
75,3173980044047,lait demi-écrémé UHT VERNEUIL,VERNEUIL,Crémerie,"Lait, boissons lactées et végétales",True,3.78,0.63 € / Litre
76,3451790011269,Beurre doux ELLE & VIRE,ELLE & VIRE,Crémerie,Beurres et margarines,True,1.66,6.64 € / Kilogramme
77,3282070999317,Œufs frais petits ,PP NO NAME,Crémerie,Oeufs,True,1.77,0.12 € / Pièce
78,3270190207696,Emmental râpé fondant CARREFOUR,CRF CLASSIC,Crémerie,Fromages,True,1.44,7.20 € / Kilogramme
79,3560071013257,Lait demi-écrémé CARREFOUR,CARREFOUR,Crémerie,"Lait, boissons lactées et végétales",True,4.38,0.73 € / Litre
80,3175310002758,Lait demi-écrémé UHT LE PETIT VENDEEN,REFS.SANS MARQUE,Crémerie,"Lait, boissons lactées et végétales",True,3.66,0.61 € / Litre
81,3560071178345,Emmental râpé fondant CARREFOUR,CRF CLASSIC,Crémerie,Fromages,True,2.48,7.09 € / Kilogramme
82,3267590005106,Œufs gros L'ŒUF RIESTAHL,L OEUF RIESTAHL,Crémerie,Oeufs,True,3.09,0.26 € / Pièce
83,3245411851149,Crème semi-épaisse 18% MG CARREFOUR,CARREFOUR,Crémerie,Crèmes fraîches et chantilly,True,1.85,3.08 € / Litre
84,3270190020875,Crème fraîche épaisse légère 15% MG CARREFOUR,CRF CDM,Crémerie,Crèmes fraîches et chantilly,True,1.14,2.28 € / Litre
85,3560071080914,Lait demi-écrémé CARREFOUR,CARREFOUR,Crémerie,"Lait, boissons lactées et végétales",True,4.68,0.78 € / Litre
86,3560070459049,Morbier AOP IGP FILIERE QUALITE CARREFOUR,FILIERE QUALITE CARF,Crémerie,Fromages,True,2.48,9.92 € / Kilogramme
87,3368170032137,Œufs de poule plein air SAINTONG'OEUF,REFS.SANS MARQUE,Crémerie,Oeufs,True,1.35,0.22 € / Pièce
88,3560070157198,Parmesan râpé AOP CARREFOUR,CARREFOUR,Crémerie,Fromages,True,1.6,16.00 € / Kilogramme
89,3560070506491,Fromage râpé emmental/mozzarella/gouda CARREFOUR,CRF CLASSIC,Crémerie,Fromages,True,1.36,6.80 € / Kilogramme
90,3273020000023,Œufs poules plein air U PAESANU,REFS.SANS MARQUE,Crémerie,Oeufs,True,4.99,0.42 € / Pièce
91,3271820003343,Beurre demi sel de Bretagne ,AGRILAIT,Crémerie,Beurres et margarines,True,3.95,7.90 € / Kilogramme
92,3424140001401,Crème fraîche épaisse FERME DU BOURG GROUX,FERME DU BOURG GROUX,Crémerie,Crèmes fraîches et chantilly,True,2.77,6.92 € / Litre
93,3270190021179,Œufs moyen CARREFOUR BIO,CARREFOUR BIO,Bio et Ecologie,Crèmerie,True,1.88,0.31 € / Pièce
94,3282620138159,Œufs bio de poules plein air BABY COQUE,BABY COQUE,Bio et Ecologie,Crèmerie,True,4.45,0.37 € / Pièce
95,3760056260069,Grana Padano râpé CASA AZZURRA,CASA AZZURA,Crémerie,Fromages,True,1.55,15.50 € / Kilogramme
96,3298621068005,Œufs gros OEUF VIEUX PRESSOIR,OEUF VIEUX PRESSOIR,Crémerie,Oeufs,True,1.35,1.35 € / Pièce
97,3270190020288,Beurre doux CARREFOUR,CRF CDM,Crémerie,Beurres et margarines,True,1.79,7.16 € / Kilogramme
98,3271820003831,Beurre moulé demi-sel AGRILAIT,AGRILAIT,Crémerie,Beurres et margarines,True,4.15,8.30 € / Kilogramme
99,3523680248694,Comté 18 mois AOP ,,Crémerie,Fromages,True,4.12,17.91 € / Kilogramme
100,3560070349647,Crème fraîche légère 15% MG CARREFOUR,PP BLANC,Crémerie,Crèmes fraîches et chantilly,True,0.99,1.98 € / Litre
101,3451790988042,Crème liquide entière ELLE & VIRE,ELLE & VIRE,Crémerie,Crèmes fraîches et chantilly,True,2.45,4.08 € / Litre
102,3760056260076,Parmigiano Reggiano  CASA AZZURRA,CASA AZZURA,Crémerie,Fromages,True,1.02,17.00 € / Kilogramme
103,3245411386757,Beurre tendre demi-sel CARREFOUR,CARREFOUR,Crémerie,Beurres et margarines,True,1.9,7.60 € / Kilogramme
104,3270190021001,Crème fraîche épaisse entière 30% CARREFOUR,CRF CDM,Crémerie,Crèmes fraîches et chantilly,True,1.4,2.80 € / Litre
105,3560071093716,Fromage de chèvre Sainte Maure CARREFOUR,CRF CDM,Crémerie,Fromages,True,1.5,8.33 € / Kilogramme
106,3523230028431,Fromage de chèvre Sainte Maure SOIGNON,SOIGNON,Crémerie,Fromages,True,1.76,8.80 € / Kilogramme
107,8000500290767,Gâteaux lait & chocolat KINDER PINGUI,KINDER,Crémerie,"Yaourts, desserts et spécialités végétales",True,1.89,7.88 € / Kilogramme
108,3271820000007,Lait demi-écrémé AGRILAIT,AGRILAIT,Crémerie,"Lait, boissons lactées et végétales",True,0.92,0.92 € / Litre
