,EAN,product_name,brand,category,subcategory,purchasable,price,price_per_unit
0,3560070525621,Alèse Maxi Absorption 60 x 90 cm CARREFOUR BABY,CARREFOUR BABY,Le Monde de Bébé,Couches et apprentissage propreté,True,4.66,0.47 € / Pièce
1,3560071281304,biscuits bébé bio pépites chocolat 18 mois CARREFOUR BABY,CRF BABY BIO,Le Monde de Bébé,"Desserts, goûters et jus",True,1.86,9.30 € / Kilogramme
2,3560071281335,biscuits bébé bio fondants dès 10 mois CARREFOUR BABY,CRF BABY BIO,Le Monde de Bébé,"Desserts, goûters et jus",True,1.86,15.50 € / Kilogramme
3,3560070997985,Coton pour bébé Carrés Sensitive CARREFOUR BABY,CARREFOUR BABY,Le Monde de Bébé,Toilette de bébé,True,2.85,0.03 € / Pièce
4,3560071182380,Coton-tiges bébé embout spécial sécurité CARREFOUR BABY,CARREFOUR BABY,Hygiène et Beauté,"Papier toilette, mouchoirs et cotons",True,0.84,0.02 € / Pièce
5,3560071173456,Cotton Pads CARREFOUR BABY,CARREFOUR BABY,Le Monde de Bébé,Toilette de bébé,True,3.2,0.02 € / Pièce
6,3560071172459,Couches Ultra Dry T4 : 7-18 kg CARREFOUR BABY,CARREFOUR BABY,Le Monde de Bébé,Couches et apprentissage propreté,True,8.85,0.20 € / Pièce
7,3560071172923,Couches Soft & Protect T2 : 3-6 kg CARREFOUR BABY,CARREFOUR BABY,Le Monde de Bébé,Couches et apprentissage propreté,True,0.96,0.19 € / Pièce
8,3560071172954,Couches taille 3 midi : 4-9 kg CARREFOUR BABY,CARREFOUR BABY,Le Monde de Bébé,Couches et apprentissage propreté,True,0.99,0.20 € / Pièce
9,3560071172947,Couches Soft & Protect T2 : 3-6 kg CARREFOUR BABY,CARREFOUR BABY,Le Monde de Bébé,Couches et apprentissage propreté,True,9.4,0.16 € / Pièce
10,3560071172800,Couches Ultra Dry T5 : 11-25 kg CARREFOUR BABY,CARREFOUR BABY,Le Monde de Bébé,Couches et apprentissage propreté,True,8.4,0.21 € / Pièce
11,3560071172817,Couches Ultra Dry T6 : +16 kg CARREFOUR BABY,CARREFOUR BABY,Le Monde de Bébé,Couches et apprentissage propreté,True,5.65,0.21 € / Pièce
12,3560071173029,Couches Premium Ultra Protect T5 : 11-25 kg CARREFOUR BABY,CARREFOUR BABY,Le Monde de Bébé,Couches et apprentissage propreté,True,9.4,0.26 € / Pièce
13,3560071173425,Couches Soft & Eco-friendly T5  : 11-25 kg CARREFOUR BABY,CARREFOUR BABY,Le Monde de Bébé,Couches et apprentissage propreté,True,8.3,0.35 € / Pièce
14,3560071173364,Couches Soft & Eco-friendly T3 : 4-9 kg CARREFOUR BABY,CRF BABY ECOPLANETE,Le Monde de Bébé,Couches et apprentissage propreté,True,8.3,0.28 € / Pièce
15,3560071172367,Couches Ultra Dry T3: 4-9 kg CARREFOUR BABY,CARREFOUR BABY,Le Monde de Bébé,Couches et apprentissage propreté,True,4.9,0.20 € / Pièce
16,3560071173005,Couches taille 4+ maxi+ : 9-20 kg CARREFOUR BABY,CARREFOUR BABY,Le Monde de Bébé,Couches et apprentissage propreté,True,9.4,0.25 € / Pièce
17,3560071172572,Couches Ultra Dry  T4+ : 9-20 kg CARREFOUR BABY,CARREFOUR BABY,Le Monde de Bébé,Couches et apprentissage propreté,True,8.8,0.20 € / Pièce
18,3560071172381,Couches Ultra Dry T3 : 4-9 kg CARREFOUR BABY,CARREFOUR BABY,Le Monde de Bébé,Couches et apprentissage propreté,True,8.85,0.18 € / Pièce
19,3560071172916,Couches Soft & Protect  T1 : 2-5 kg CARREFOUR BABY,CARREFOUR BABY,Le Monde de Bébé,Couches et apprentissage propreté,True,3.53,0.14 € / Pièce
20,3560071172558,Couches taille 4+ maxi+ : 9-20 kg CARREFOUR BABY,CARREFOUR BABY,Le Monde de Bébé,Couches et apprentissage propreté,True,4.9,0.23 € / Pièce
21,3560071172527,Couches Ultra Dry T4 : 7-18 kg CARREFOUR BABY,CARREFOUR BABY,Le Monde de Bébé,Couches et apprentissage propreté,True,25.3,0.14 € / Pièce
22,3560071172718,Couches taille 5 junior : 11-25 kg CARREFOUR BABY,CARREFOUR BABY,Le Monde de Bébé,Couches et apprentissage propreté,True,4.9,0.25 € / Pièce
23,3560071172411,Couches Ultra Dry  T3 : 4-9 kg  CARREFOUR BABY,CARREFOUR BABY,Le Monde de Bébé,Couches et apprentissage propreté,True,24.3,0.13 € / Pièce
24,3560071172374,Couches Ultra Dry T3 : 4-9 kg CARREFOUR BABY,CARREFOUR BABY,Le Monde de Bébé,Couches et apprentissage propreté,True,8.85,0.18 € / Pièce
25,3560071172442,Couches taille 4 maxi : 7-18 kg CARREFOUR BABY,CARREFOUR BABY,Le Monde de Bébé,Couches et apprentissage propreté,True,4.9,0.22 € / Pièce
26,3560071172435,Couches Ultra Dry T4 : 7-18 kg CARREFOUR BABY,CARREFOUR BABY,Le Monde de Bébé,Couches et apprentissage propreté,True,4.9,0.22 € / Pièce
27,3560071172930,Couches Soft & Protect T2 : 3-6 Kg CARREFOUR BABY,CARREFOUR BABY,Le Monde de Bébé,Couches et apprentissage propreté,True,5.2,0.16 € / Pièce
28,3560071172541,Couches Ultra Dry T4+ : 9-20 kg CARREFOUR BABY,CARREFOUR BABY,Le Monde de Bébé,Couches et apprentissage propreté,True,4.9,0.23 € / Pièce
29,3560071172428,Couches taille 3 midi : 4-9 kg CARREFOUR BABY,CARREFOUR BABY,Le Monde de Bébé,Couches et apprentissage propreté,True,25.3,0.14 € / Pièce
